"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-01",97.3224407235782,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-02",97.2470908960594,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-03",97.2012342403372,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-04",97.2312656106127,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-05",97.329166198121,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-06",97.5003107202605,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-07",97.7634053924888,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-08",98.0771819655875,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-09",98.4034315847814,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-10",98.7193567479879,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-11",99.0174502179705,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-12",99.2830855373453,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-01",99.4899392368114,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-02",99.6278711939888,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-03",99.6591351996266,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-04",99.543511266099,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-05",99.3701058874417,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-06",99.2446860009358,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-07",99.2347943938218,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-08",99.2668796178623,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-09",99.2340261558601,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-10",99.0617077570222,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-11",98.8384794583662,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-12",98.6947803053449,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-01",98.7326459722901,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-02",98.8758922372206,
